timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
4501,0.0146,-0.0176,1.2378,-0.3817,-2.8473,3.3359
4521,0.0239,-0.0105,1.2432,-0.3511,-3.0382,3.3511
4541,0.0166,-0.0039,1.2605,-0.7328,-1.5802,3.4122
4561,0.0088,-0.0076,1.2542,-0.7252,-1.1756,3.3817
4581,0.0042,-0.0066,1.2698,-0.7099,-2.2595,3.4198
4601,0.0068,-0.0007,1.2437,-0.458,-2.0076,3.542
4621,0.0154,-0.0181,1.2222,-0.2137,-2.0458,3.4351
4641,0.012,-0.0073,1.2463,-0.8321,-1.7099,3.2443
4661,0.0112,-0.0107,1.2493,-0.8702,-0.9313,3.5267
4681,0.009,-0.012,1.2339,-0.7023,-1.7481,3.4656
4701,0.0137,-0.0156,1.2336,-1.0076,-1.9695,3.3817
4721,0.0137,-0.012,1.2522,-1.145,-2.0229,3.4809
4741,0.0098,-0.0044,1.2625,-1.1145,-2.0458,3.6107
4761,0.0193,-0.02,1.2183,-0.7557,-1.8244,3.5344
4781,0.0215,-0.0232,1.2173,-0.8321,-1.145,3.2977
4801,0.0183,-0.0173,1.2153,-0.5954,-2.4198,3.542
4821,0.0117,-0.0166,1.2397,-0.4351,-3,
4921,0.0254,-0.0278,1.2346,-0.7481,-2.8855,3.4046
5023,0.0156,-0.0159,1.2446,-0.7634,-1.8321,3.4885
5042,0.0229,-0.0166,1.2341,-0.229,-1.542,3.5878
5062,0.0264,-0.0259,1.2146,-0.084,-1.5344,3.374
5082,0.0244,-0.0164,1.2153,-0.1069,-1.1679,3.542
5102,0.0181,-0.0085,1.2239,-0.0763,-1.6412,3.4962
5122,0.0083,-0.0159,1.2437,-0.4809,-1.3206,3.1832
5142,0.0076,-0.0107,1.2429,-0.5496,-0.7328,3.5878
5162,0.0181,-0.0188,1.2224,-0.1908,-1.5878,3.6107
5182,0.0042,-0.0095,1.2324,-0.1756,-2.3969,3.5954
5202,0.0098,-0.0115,1.2446,-0.1832,-1.5496,3.084
5222,0.0166,-0.0129,1.2283,-0.2214,-0.7252,3.6641
5242,0.0137,-0.0227,1.2314,-0.4504,-0.8931,3.2977
5262,0.0125,-0.0161,1.2024,0.0305,-1.5954,3.6183
5282,0.0137,-0.0215,1.199,-0.2061,-2.7023,3.542
5302,0.012,-0.0161,1.217,-0.9618,-2.4427,3.4733
5322,0.0129,-0.0105,1.2307,-1.0687,-1.0229,3.3969
5342,0.0203,-0.0127,1.2407,-0.8015,-1.7939,3.4198
5362,0.0222,-0.0164,1.2302,-0.6183,-2.4275,3.4504
5382,0.0193,-0.0166,1.2229,-0.8092,-2.1603,3.5725
5402,0.0112,-0.0132,1.2512,-1.0916,-2.3817,3.4809
5422,0.0159,-0.0085,1.2524,-0.8244,-2.0305,3.4962
5442,0.0166,-0.0103,1.252,-0.8092,-1.8855,3.3282
5462,0.02,-0.0093,1.2434,-0.8168,-2.2824,3.4427
5482,0.0188,-0.0049,1.2424,-0.916,-2.3664,3.3053
5502,0.0254,-0.0081,1.2383,-1.1145,-1.5573,3.3511
5522,0.0105,-0.0183,1.25,-1.0534,-1.5802,3.3359
5542,0.0115,-0.0164,1.2432,-0.9924,-1.771,3.3511
5562,0.0095,-0.0078,1.2622,-1.2061,-2.2366,3.3359
5582,0.0178,-0.0164,1.2317,-0.6947,-2.2214,3.4351
5602,0.0164,-0.0078,1.251,-0.9924,-1.0687,3.4427
5622,0.0151,-0.0205,1.2292,-0.5878,-0.8092,3.2595
5642,0.019,-0.0227,1.2014,-0.0229,-2.0458,3.6031
5662,0.011,-0.0254,1.2188,-0.4198,-2.5496,3.6336
5682,0.0193,-0.0247,1.2336,-0.5802,-1.1603,3.3817
5702,0.0171,-0.0229,1.2153,-0.5115,-1.3969,3.3817
5722,0.0166,-0.0249,1.2107,-0.3817,-2.1603,3.5573
5742,0.0198,-0.0198,1.2253,-0.687,-2.2061,3.4656
5762,0.0225,-0.0188,1.2261,-0.5573,-2.0382,3.3359
5782,0.0286,-0.0276,1.2358,-0.6412,-1.8473,3.4275
5802,0.0281,-0.0195,1.2205,-0.6794,-1.542,3.458
5822,0.0183,-0.0242,1.2229,-0.7863,-2.1145,3.4885
5842,0.0217,-0.02,1.2058,-0.6489,-1.9542,3.5267
5862,0.0244,-0.0208,1.2288,-0.6183,-1.6565,3.4733
5882,0.0254,-0.0112,1.2395,-0.4733,-1.3435,3.5802
5902,0.0156,-0.0125,1.2424,-0.6183,-1.2366,3.4962
5922,0.0237,-0.0181,1.2207,-0.4962,-1.3664,3.3511
5942,0.0144,-0.0078,1.2258,-0.2977,-1.8702,3.4656
5962,0.0093,-0.0227,1.2334,-0.7786,-1.2977,3.6794
5982,0.0154,-0.0195,1.209,-0.2977,-0.687,3.5573
6002,0.0166,-0.0066,1.2456,-0.4809,-1.1069,3.3893
6022,0.0042,-0.0051,1.2495,-0.5191,-2.0992,3.458
6042,0.0107,-0.0129,1.2234,-0.313,-1.6718,3.4122
6062,0.0027,-0.0247,1.2305,-0.5954,-0.7405,3.5115
6082,0.009,-0.0193,1.2361,-0.6183,-1.2214,3.4122
6102,0.0068,-0.0176,1.2351,-0.4656,-1.9084,3.5191
6122,0.021,-0.0154,1.2283,-0.229,-2.4504,3.374
6142,0.0173,-0.0115,1.2271,-0.5038,-1.9924,3.458
6162,0.021,-0.0142,1.2393,-0.7939,-1.4885,3.4733
6182,0.0176,-0.0093,1.2339,-0.7481,-2.0916,3.458
6202,0.019,-0.0144,1.2341,-0.7099,-2.3664,3.6107
6222,0.0137,-0.019,1.2234,-0.6412,-2.1298,3.3817
6242,0.0247,-0.019,1.2385,-0.855,-1.8626,3.4885
6262,0.0132,-0.0068,1.2466,-0.9389,-2.1145,3.5191
6282,0.0129,-0.0137,1.2478,-0.8702,-1.9695,3.5344
6302,0.0159,-0.0144,1.239,-1.1756,-2.3435,3.542
6322,0.0229,-0.0105,1.2563,-0.7176,-2.229,3.4275
6342,0.0149,-0.0161,1.2437,-1.1527,-1.7863,3.3664
