timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
4441,0.0068,-0.0615,1.2219,3.8855,-15.8397,11.2137
4461,-0.0723,-0.0562,1.2444,4.771,-10.7863,15.9084
4481,-0.0864,-0.0911,1.2634,3.8015,-19.1374,-2.8321
4501,0.0308,-0.0486,1.2266,8.7023,-20.4351,-5.4275
4521,0.0999,-0.0273,1.2175,16.6565,-8.4275,-2.0534
4541,0.1218,0.0127,1.2734,13.542,8.4198,19.3817
4561,-0.0391,-0.0745,1.3347,3.1145,10.0916,31.4504
4581,-0.1387,-0.1204,1.2893,-1.5496,6.4809,1.687
4601,-0.0344,-0.0454,1.3005,-12.6336,8.6183,-16.2214
4621,0.0125,-0.0347,1.3228,-31.1756,17.3359,-22.7481
4641,-0.0037,-0.0811,1.1111,-43.5267,30.0611,-20.8473
4661,-0.144,-0.145,1.2415,-29.3893,15.1145,-22.3664
4681,-0.1333,-0.1323,1.3225,-27.3206,8.8015,-16.2443
4701,-0.1628,-0.1025,1.4226,-36.2748,-9.8626,-18.0763
4721,0.0813,0.0217,1.5317,-77.0382,-39.5038,-4.2748
4741,-0.0623,-0.1992,1.2305,-91.7557,-43.1145,-2.6565
4761,-0.0698,-0.2205,1.0459,-60.5878,-30.3435,-7.7023
4781,0.0281,-0.2166,1.1216,-35.5267,-16.2901,-3.374
4801,0.0742,-0.2576,1.3713,-25.8397,-30.1145,-4.3969
4821,0.0288,-0.2134,1.199,-25.4809,-51.4504,-7.6107
4841,0.0254,-0.1897,1.2256,-30.7786,-49.8626,-4.9924
4861,-0.0305,-0.1292,1.2842,-68.7634,-43.3511,-2.3664
4881,-0.0513,-0.1611,1.1848,-120.5802,-25.4656,-6.4504
4901,-0.0049,-0.2407,1.2166,-142.145,-20.7405,-0.1832
4921,-0.0405,-0.4294,1.2241,-134.229,-69.8244,12.6794
4941,0.1772,-0.3628,0.95,-111.0992,-64.2443,16.4962
4961,0.1741,-0.3757,1.1802,-88.626,-39,12.2443
4981,0.1492,-0.4597,1.2996,-90.9924,-33.7481,8.3359
5001,0.2273,-0.5117,1.3044,-82.687,-16.2519,1.0687
5021,0.3113,-0.5376,1.1904,-46.1298,-19.458,-2.7863
5041,0.248,-0.5112,1.0925,-18.9466,-28.3969,-5.8092
